"Date","YouTube","Twitter","Facebook","LinkedIn","VKontakte"
2020-04,0,100,0,0,0
2020-06,0,100,0,0,0
2020-07,56.25,6.25,25,12.5,0
2020-08,0,0,0,0,100
2019-12,0,0,0,0,0
2020-01,0,0,0,0,0
2020-02,0,0,0,0,0
2020-03,0,0,0,0,0
2020-05,0,0,0,0,0
2020-09,0,0,0,0,0
2020-10,0,0,0,0,0
2020-11,0,0,0,0,0
2020-12,0,0,0,0,0
