web-scraper-order,web-scraper-start-url,name,name-href
"1611147903-399","https://gs.statcounter.com/social-media-stats/all/afghanistan","Peru","https://gs.statcounter.com/social-media-stats/all/peru"
"1611147903-375","https://gs.statcounter.com/social-media-stats/all/afghanistan","Mozambique","https://gs.statcounter.com/social-media-stats/all/mozambique"
"1611147903-351","https://gs.statcounter.com/social-media-stats/all/afghanistan","Liechtenstein","https://gs.statcounter.com/social-media-stats/all/liechtenstein"
"1611147903-376","https://gs.statcounter.com/social-media-stats/all/afghanistan","Myanmar","https://gs.statcounter.com/social-media-stats/all/myanmar"
"1611147903-234","https://gs.statcounter.com/social-media-stats/all/afghanistan","Afghanistan","https://gs.statcounter.com/social-media-stats/all/afghanistan"
"1611147903-239","https://gs.statcounter.com/social-media-stats/all/afghanistan","Andorra","https://gs.statcounter.com/social-media-stats/all/andorra"
"1611147903-397","https://gs.statcounter.com/social-media-stats/all/afghanistan","Papua New Guinea","https://gs.statcounter.com/social-media-stats/all/papua-new-guinea"
"1611147903-388","https://gs.statcounter.com/social-media-stats/all/afghanistan","Norfolk Island","https://gs.statcounter.com/social-media-stats/all/norfolk-island"
"1611147903-364","https://gs.statcounter.com/social-media-stats/all/afghanistan","Mauritania","https://gs.statcounter.com/social-media-stats/all/mauritania"
"1611147903-236","https://gs.statcounter.com/social-media-stats/all/afghanistan","Albania","https://gs.statcounter.com/social-media-stats/all/albania"
"1611147903-429","https://gs.statcounter.com/social-media-stats/all/afghanistan","South Korea","https://gs.statcounter.com/social-media-stats/all/south-korea"
"1611147903-326","https://gs.statcounter.com/social-media-stats/all/afghanistan","Hong Kong","https://gs.statcounter.com/social-media-stats/all/hong-kong"
"1611147903-343","https://gs.statcounter.com/social-media-stats/all/afghanistan","Kuwait","https://gs.statcounter.com/social-media-stats/all/kuwait"
"1611147903-451","https://gs.statcounter.com/social-media-stats/all/afghanistan","Tuvalu","https://gs.statcounter.com/social-media-stats/all/tuvalu"
"1611147903-286","https://gs.statcounter.com/social-media-stats/all/afghanistan","Cuba","https://gs.statcounter.com/social-media-stats/all/cuba"
"1611147903-408","https://gs.statcounter.com/social-media-stats/all/afghanistan","Russian Federation","https://gs.statcounter.com/social-media-stats/all/russian-federation"
"1611147903-345","https://gs.statcounter.com/social-media-stats/all/afghanistan","Lao","https://gs.statcounter.com/social-media-stats/all/lao"
"1611147903-330","https://gs.statcounter.com/social-media-stats/all/afghanistan","Iran","https://gs.statcounter.com/social-media-stats/all/iran"
"1611147903-431","https://gs.statcounter.com/social-media-stats/all/afghanistan","Sri Lanka","https://gs.statcounter.com/social-media-stats/all/sri-lanka"
"1611147903-278","https://gs.statcounter.com/social-media-stats/all/afghanistan","Colombia","https://gs.statcounter.com/social-media-stats/all/colombia"
"1611147903-446","https://gs.statcounter.com/social-media-stats/all/afghanistan","Trinidad And Tobago","https://gs.statcounter.com/social-media-stats/all/trinidad-and-tobago"
"1611147903-405","https://gs.statcounter.com/social-media-stats/all/afghanistan","Qatar","https://gs.statcounter.com/social-media-stats/all/qatar"
"1611147903-333","https://gs.statcounter.com/social-media-stats/all/afghanistan","Isle Of Man","https://gs.statcounter.com/social-media-stats/all/isle-of-man"
"1611147903-340","https://gs.statcounter.com/social-media-stats/all/afghanistan","Kazakhstan","https://gs.statcounter.com/social-media-stats/all/kazakhstan"
"1611147903-436","https://gs.statcounter.com/social-media-stats/all/afghanistan","Switzerland","https://gs.statcounter.com/social-media-stats/all/switzerland"
"1611147903-422","https://gs.statcounter.com/social-media-stats/all/afghanistan","Sierra Leone","https://gs.statcounter.com/social-media-stats/all/sierra-leone"
"1611147903-428","https://gs.statcounter.com/social-media-stats/all/afghanistan","South Africa","https://gs.statcounter.com/social-media-stats/all/south-africa"
"1611147903-312","https://gs.statcounter.com/social-media-stats/all/afghanistan","Gibraltar","https://gs.statcounter.com/social-media-stats/all/gibraltar"
"1611147903-464","https://gs.statcounter.com/social-media-stats/all/afghanistan","Zambia","https://gs.statcounter.com/social-media-stats/all/zambia"
"1611147903-353","https://gs.statcounter.com/social-media-stats/all/afghanistan","Luxembourg","https://gs.statcounter.com/social-media-stats/all/luxembourg"
"1611147903-445","https://gs.statcounter.com/social-media-stats/all/afghanistan","Tonga","https://gs.statcounter.com/social-media-stats/all/tonga"
"1611147903-282","https://gs.statcounter.com/social-media-stats/all/afghanistan","Cook Islands","https://gs.statcounter.com/social-media-stats/all/cook-islands"
"1611147903-342","https://gs.statcounter.com/social-media-stats/all/afghanistan","Kiribati","https://gs.statcounter.com/social-media-stats/all/kiribati"
"1611147903-416","https://gs.statcounter.com/social-media-stats/all/afghanistan","San Marino","https://gs.statcounter.com/social-media-stats/all/san-marino"
"1611147903-355","https://gs.statcounter.com/social-media-stats/all/afghanistan","Macedonia","https://gs.statcounter.com/social-media-stats/all/macedonia"
"1611147903-358","https://gs.statcounter.com/social-media-stats/all/afghanistan","Malaysia","https://gs.statcounter.com/social-media-stats/all/malaysia"
