,Countrycode,Instagram,Facebook,Twitter,LinkedIn
152,IM,1.44,56.05,15.85,1.08
153,BJ,0.38,80.95,5.1,0.08
154,AR,4.93,83.66,2.45,0.02
155,TO,0.16,89.6,1.44,0.0
156,SH,0.0,0.0,0.0,
157,MR,0.11,84.57,2.89,0.03
158,VA,0.0,72.46,24.64,0.0
159,UY,7.18,78.23,3.06,0.04
160,ZA,1.07,38.76,12.64,0.26
161,MZ,1.26,94.55,0.75,0.02
162,EE,4.17,56.7,8.59,0.37
163,TG,0.3,81.3,3.42,0.1
164,IE,0.88,88.74,5.71,0.14
165,BB,3.45,46.85,7.32,0.24
166,AZ,24.69,20.5,5.58,0.27
167,VI,0.75,56.94,10.26,0.39
168,LI,1.27,67.05,9.16,0.67
169,GN,0.33,84.6,1.7,0.1
170,YT,0.43,65.68,3.33,0.0
171,RS,1.51,85.1,5.6,0.06
172,KN,2.65,57.78,7.86,0.25
173,NG,5.37,45.46,35.17,0.3
174,SE,3.71,77.15,5.98,0.16
175,BG,0.28,96.96,0.41,0.02
176,CY,1.5,82.37,4.31,1.26
177,LA,1.15,69.62,9.49,0.11
178,GF,0.89,54.89,4.7,0.14
179,BO,0.82,81.69,0.97,0.01
180,JP,3.37,18.03,47.88,0.41
181,AW,0.59,87.93,2.33,0.05
182,TJ,5.7,61.45,4.42,0.24
183,SM,1.83,59.48,9.15,0.08
184,MW,0.52,39.07,22.04,0.25
185,NO,3.05,59.53,7.18,0.2
186,EH,0.0,66.67,13.33,0.0
187,AD,1.45,75.35,6.4,0.29
188,PF,0.31,65.58,4.05,0.1
189,MD,1.71,74.49,2.13,0.39
190,ZW,1.37,30.8,22.63,0.21
191,GU,1.81,34.91,7.66,0.15
192,LR,0.56,80.31,5.46,0.16
193,DM,1.05,64.71,4.27,0.11
194,ML,0.76,93.02,2.05,0.06
195,FK,1.79,55.95,21.43,0.6
196,ES,4.55,78.6,7.28,0.14
197,SV,1.55,64.96,7.18,0.07
198,PN,,0.0,,
199,IS,1.24,67.95,8.42,0.14
200,BT,1.17,80.16,3.08,0.42
201,AL,0.8,91.79,1.52,0.13
202,DE,2.45,68.22,5.48,0.35
203,UG,0.94,47.2,19.89,0.37
204,KZ,6.46,15.39,10.02,0.62
205,TV,0.0,89.29,8.04,
206,BS,0.94,78.83,6.59,0.21
207,IT,1.73,78.01,4.92,0.15
208,ET,2.92,56.51,6.69,0.26
209,MK,1.17,94.32,1.39,0.09
210,RO,0.44,94.38,0.52,0.03
211,DJ,0.15,84.53,2.75,0.09
212,OM,4.51,51.18,13.06,6.32
213,LU,1.12,65.64,8.21,0.44
214,GR,2.17,82.52,2.62,0.09
215,KR,0.39,79.9,15.88,0.06
216,CM,0.44,85.56,3.81,0.07
217,PA,5.81,39.37,9.77,0.14
218,SY,0.87,75.14,8.83,0.08
219,MC,1.37,54.44,28.46,1.45
220,WF,0.0,80.0,2.22,0.0
221,PR,1.22,69.76,5.36,0.08
222,MP,1.2,58.38,5.72,0.06
223,BH,2.63,73.56,6.68,0.3
224,TM,2.7,5.41,13.51,0.0
225,GA,0.28,84.06,1.94,0.07
226,VC,1.33,61.78,6.03,0.21
227,AX,2.15,50.12,10.75,0.33
228,EG,0.38,78.15,3.85,0.1
229,MX,0.44,82.24,8.79,0.02
230,SB,0.08,78.6,4.86,0.0
231,KI,0.0,75.0,21.29,0.0
232,CV,0.5,85.1,1.92,0.02
233,GI,1.33,58.35,18.21,0.49
